Drugname,Absorption/administration,Adverse effects,Contraindications,Distribution,Dosing/administration,Excretion,Indications,Interactions,Metabolism,Pharmacodynamics,Pharmacokinetics,Special notes,Special precautions,Structure/class,Toxicology,Withdrawal syndrome
NON-DEPOLARISING SKELETAL MUSCLE RELAXANTS,IV only – it is inactive orally for all agents.,"As stated above, in pharmacodynamic section","Previous hypersensitivity reaction
Unmonitored/non-resuscitation settings
Inadequate personnel
Known difficult intubation/ventilation","All agents are highly polar/ionized, and therefore not strongly bound in peripheral tissues.
All agents have very small Vd.","Rocuronium
0.6mg/kg as induction
0.1-0.2mg/kg every 20-30 minutes for maintenance
0.9mg/kg for modified RSI","Rocuronium/vecuronium – hepatic/biliary excretion
Pancuronium – renal","Facilitate endotracheal intubation
Note that rocuronium may be used in modified RSI setting by giving a large dose – 0.9mg/kg, which will have an onset time of 60-120s.
Maintenance of paralysis to aid ventilation/transport of patient.
In penetrating eye injuries where suxemethonium is contraindicated,
May be used in ICU setting to prevent shivering when therapeutic hypothermia protocol is being used.",Aminoglycosides (e.g. Gentamicin) will enhance NM blockade,"The duration of neuromuscular blockade is strongly correlated with elimination half-life. The agents all have different mechanisms of metabolism:
Atracurium, in addition to hepatic metabolism, is inactivated by spontaneous breakdown (Hoffmann elimination). The main breakdown product is laudanosine. Laudanosine is slowly metabolized by the liver, has long elimination T ½ (150 minutes) and crosses the BBB. At high levels, it will cause seizures and increase the volatile anesthetic requirement.
Cisatracurium is metabolized via Hoffmann elimination as well, but depends less on hepatic metabolism, produces less laudanosine and has less chance of releasing histamine. These features make it overall a better drug than atracurium.
The steroid drugs, rocuronium and vecuronium undergo hepatic metabolism and biliary excretion. This means their duration of action is shorter (25-30 minutes). They are metabolized to 3-hydroxy, 17-hydroxy or 3, 17-dihydroxy compounds. The 3-hydroxy compounds have longer half-lives and are active metabolites. They may accumulate and cause prolonged paralysis.
Pancuronium is mainly dependent on renal excretion (80% excreted renally). This means it has the longest duration of action (>35 minutes)
[One application of the above is that cisatracurium is used for prolonged paralysis in ICU, and rocuronium and vecuronium are not]","Mechanism of action
Both groups mainly act by competitive antagonism of ACh at the nicotinic receptor.
Note that of all the non-depolarising agents, rocuronium is the least potent, having the fastest onset and fastest offset.
Larger doses will actually allow the drug to enter the pore of the channel, producing a stronger blockade. This reduces the ability of acetylcholinesterase inhibitors to antagonize the effects. Larger doses may also interfere with pre-junctional release of ACh.
Specific organ effects
Rocuronium, vecuronium and cisatracurium are the most cardiac stable, with little, if any, CVS side effects.
Tubocurarine and atracurium may cause brief hypotension due to histamine release.
Pancuronium is associated with tachycardia due to a vagolytic response. It increases cardiac output but does not change systemic vascular resistance.",,,"Need monitored setting/experienced clinicians to use
Dose according to lean muscle mass in obese patients
Specific disease conditions:
Advanced age and myasthenia gravis will prolong action of drug
Burns will decrease action of drug","Separated into two distinct groups – isoquinoline and steroid derivatives:
Isoquinoline – Atracurium, cisatracurium, mivacurium and tubocurarine
Steroid – Rocuronium, Vecuronium and Pancuronium","Block may be reversed by cholinesterase inhibitors, e.g. neostigmine or erdrophonium.
Rocuronium has a pharmacological antagonist – sugammadex",
NSAIDs,"PO. Some may be given IV or IM.
Importantly, food does not lower its bioavailability.","Toxic effects
Mainly GIT (gastritis, nausea/vomiting, ulcers and bleeding)
Renal – AKI (probably secondary to altered renal blood flow due to reduced prostaglandin synthesis)
Hepatic – abnormal LFTs and rarely, hepatic failure.
CNS – tinnitus, dizziness and headaches.", ,"All are weak acids and therefore absorbed well in the GIT.
They are all highly protein bound (>98% to albumin).
They are all found in high concentration in synovial fluids.", ,Renal, ,"Lithium – may increase lithium levels secondary to reducing renal blood flow.
Increased risk of bleeding with other anticoagulants.","Hepatic, by CYP systems and phase 2 reactions.","NSAIDs function by inhibiting COX and therefore leading to less prostaglandin synthesis.
Aspirin irreversibly inhibits COX.
Non-COX selective NSAIDs reversibly inhibit COX.
Selective COX-2 NSAIDs will not have anti-platelet function.
Comparative effects as follows:
COX-2 drugs have less GI effects, but increased oedema and HTN.
NSAIDs overall will decrease the sensitivity of blood vessels to bradykinin and histamine, affect lymphokine production from T-cells and reverse vasodilation associated with inflammation.
All NSAIDs will have analgesic/anti-pyretic and anti-inflammatory effects.
All NSAIDs (except the COX-2 specific ones) have anti-platelet activity.
Some NSAIDs (including aspirin) are thought to reduce colon cancer risk.
With respect to GI effects:
Ibuprofen thought to have the least GIT effects.
Piroxicam has 9x the GIT effects.
Aspirin has double the GIT effects.
Indomethacin may cause pancreatitis.",, , , ,"Good supportive care
 ", 
OPIOIDS,,"Extension of their organ system effects
CNS – sedation
Respiratory – respiratory depression
CVS – bradycardia/hypotension
Certain opioids may precipitate seizures
Tolerance, dependence and addiction", ,,,,"Pain
Useful in biliary and renal colic
May be useful in labour
Acute pulmonary oedema
Reduces pre-load and afterload.
Reduces the subjective sensation of dyspnea
Anaesthetic
Fentanyl may be used as induction agent (either alone, or in conjunction with BZD). Especially useful in patients with unstable haemodynamics.
Other indications are:
Cough
Anti-diarrhoeal
Pethidine may be used to break rigors","Sedative hypnotics
Added CNS and respiratory
Anti-psychotics
Additive anti-muscarinic and alpha-blocking effects, leading to tachycardia, hypotension and increased sedation
Concurrent use of MAO-I is a relative contraindication
Hyper-pyrexial coma, hypertension",,"Opioids produce analgesia by binding to specific opioid receptors (µ, κ and δ) that are located in the brain and spinal cord regions involved in transmission and modulation of pain.
These receptors are all GPCR.
The main cellular effect of opioids is to
Close voltage gated Ca2+ channels in pre-synaptic nerve terminals, therefore reducing transmitter release. Reduced Ca2+ entry leads to reduced glutamate, reduced amino acid levels as well as NA, serotonin and ACh from nociceptive terminals.
Open K+ channels, therefore causing hyperpolarization and inhibiting post-synaptic neurons.
Table of opioid receptors and their effects (important)
Opioid receptor
Effect
µ
Supraspinal and spinal anaesthesia
Respiratory depression
Constipation
Euphoria
Sedation
Miosis
Modulation of neurotransmitter release
Increased GH and prolactin secretion
Κ
Supraspinal and spinal anaesthesia
Diuresis
Sedation
Miosis
Dysphoria
Slower GIT transit time
Δ
Supraspinal and spinal anaesthesia
Modulation of neurotransmitter release
In terms of pain modulation, opioids are thought to act on both ascending and descending pathways.
Ascending: may act directly on inflamed tissues, on the dorsal horn and in the thalamus.
Descending: act my activating inhibitory nerves and therefore inhibiting pain transmission. May act on the periaqueductal gray and medulla in order to enhance inhibition to the dorsal horn.
Tolerance and dependence are features of opioid drugs
Frequently administered doses lead to an increase in the dose necessary to produce a similar effect: this is tolerance.
Dependence is defined as a withdrawal syndrome that is seen when drug is ceased/antagonist is applied.
The withdrawal/dependence mechanism may be due to the following:
Upregulation of cAMP system.
Receptor recycling, where the failure to induce endocytosis of the µ receptor is an important concept in dependence (Maintenance of normal receptor sensitivity requires reactivation by recycling)
Note that importantly, tolerance to convulsions, miosis or constipation will not occur.
Organ system effects
CNS
Analgesia
Euphoria
Sedation
Sedation usually manifests as drowsiness and clouding of mentation.
Additive effect with other anxiolytics/sedatives (e.g. BZD). Care should be taken when used.
Elderly patients are more susceptible to opioid sedation.
Sedation is thought to be more marked with morphine than with fentanyl/pethidine.
CVS
May cause bradycardia
Hypotension may result if the CVS system is already under stress. This is probably due to vasodilation secondary to histamine release. Therefore, take care in the hypovolemic patient.
Remember that opioids will increase PaCO2 à cerebral vasodilation à RICP.
Respiratory
Significant respiratory depression is seen, mainly by depressing the medullary sensitivity to CO2. There is a rise in PaCO2.
This respiratory depression is poorly tolerated in those with limited reserve, namely severe COPD, Cor Pulmonale, severe asthmatics and RICP.
Cough suppression may occur – lead to airway obstruction/atelectasis.
Other system effects
GIT – constipation
Biliary – causes biliary smooth muscle contraction: may make biliary colic worse
Skin – pruritus, flushing
Nausea, vomiting and miosis are also seen.
 ",, ,"Caution in the elderly (increased sensitivity)
Renal/hepatic disease (morphine and its metabolites may accumulate)
Limited respiratory reserve
Limited cardiovascular reserve
Head injured patients
Pregnancy – crosses the placenta and may precipitate withdrawal states in the baby.
Caution with using naloxone + full agonist – may precipitate withdrawal.", ,,
PARACETAMOL,"Well absorbed from the GIT.
Peak plasma levels 30-60 minutes.
It is slightly protein bound.", , ,T ½ of 2-3 hours. This is increased in liver disease to >6 hours, ,Renal, , ,"Hepatic
>95% undergoes glucuronidation and sulfation.
5% will undergo metabolism via CYP 450 mechanisms (Phase 1 reaction – hydroxylation) to form NAPQI. NAPQI is toxic, but usually detoxified by glutathione.",Functions as a COX-1 and COX-2 inhibitor. No anti-inflammatory properties.,, , , ,"A dose of >200mg/kg or >7g in adults is considered to be potentially toxic. The mechanism is as follows:
Paracetamol normally undergoes glucuronidation and sulfation.
In ODs à these pathways are saturated and then paracetamol is broken down by a Phase 1 reaction.
More NAPQI is formed à this consumes glutathione (GSH). Once GSH is depleted, NAPQI then becomes hepatotoxic.
Signs and symptoms
Initially, nausea/vomiting and abdominal pain.
Then signs of hepatic failure – raised transaminases and raised INR.
Hepatic encephalopathy and death.
Risk of toxicity is based on paracetamol nomogram.
Treatment – NAC. It functions either as a sulfhydryl donor in order to inactivate NAPQI, or as a glutathione substitute.
Liver transplant in severe cases.", 
PENICILLINS,"PO or IV
Note that all penicillins (Except amoxicillin) should be given 1-2 hours before/after meals to minimize binding to food proteins and acid inactivation.
Probenecid (A drug that inhibits secretion of weak acids) may be used to prolong half-life.","Hypersensitivity reactions
All penicillins are cross reactive. Allergy is due to the degradation products of penicillin.
Note that a prior history of allergy is quite unreliable.
Rarely, a patient may develop interstitial nephritis, haemolytic anaemia or a vasculitis.
In renal failure, high doses of penicillin may cause seizures.
Nafcillin is associated with neutropenia.
Oxacillin is associated with hepatitis.
Methicillin causes interstitial nephritis
Large doses of penicillins may cause GIT upset – nausea, vomiting and diarrhea.", ,"Penicillin concentration in most tissues equals that of serum.
Penicillin is also secreted in saliva and breast milk to levels ~3-15% that of serum.
However, important to remember that penetration to eye, prostate and CNS is poor.
Penetration to CNS is improved in meningitis.", ,"Mainly by kidneys. 10% by glomerular filtration and 90% by tubular secretion.
The T ½ is 30-60 minutes, but may extend to 10 hours in renal failure. Hence, it is important to adjust the dose.
However, the anti-staph penicillins are cleared by biliary secretion and therefore do not need dose adjustments.
Overall, penicillin clearance is poorer in the newborn.",As above, , ,"They function as cell wall inhibitors by interfering with the transpeptidation reaction of bacterial cell wall synthesis.
Bacterial cell wall is made up of peptidoglycan, whose synthesis is catalysed by the enzyme penicillin binding protein (PBP)
PBP is bound covalently by the β-lactam ring, and thus the bacterial cell wall breaks down and the bacteria dies.
Note that because of its mechanism of action, β-lactamase antibiotics only kill bacteria that are actively dividing and generating cell wall.
Resistance
Four basic mechanisms
Producing β-lactamase (most common)
Modifying the PBP
Impaired penetration of drug to PBP
Drug efflux.
Note that modifying the target PBP is the main mechanism of resistance in MRSA. The PBP has a very low affinity for penicillin, and are only inhibited at high, clinically unachievable concentrations.
Impaired penetration of antibiotic to PBP only occurs in Gram-ve bacteria due to their impermeable outer cell wall membrane.
Efflux pumps may be present in Gram-ve bacteria too.
Clinical indications
Penicillins: streptococci, meningococci, staph (non-β-lactamase producing staph), treponema pallidum and spirochetes (syphilis), clostridium spp., actinomyces and other GPR and non-β-lactamase producing GNB.
Anti-staph penicillins: β-lactamase producing staph (but note that the non-β-lactamase producing staphs and streps are also susceptible). Importantly, enterococci, listeria (GPR) and MRSA are all resistant.
Extended spectrum penicillins
These penicillins have greater Gram-ve cover due to increased ability to penetrate the outer cell membrane.
Amoxycillin/ampicillin is especially useful in treating respiratory tract infections – sinusitis, otitis and LRTIs.
Ticarcillin and piperacillin are effective against GNRs – Klebsiella and Pseudomonas.
Note that usually a penicillin is combined with an aminoglycoside or a fluroquinolone in order to treat Pseudomonas infections.
Penicillins may also be combined with a β-lactamase inhibitor to extend the spectrum to cover β-lactamase producing staph and β-lactamase producing GNB.",, , ,"Penicillins are thiazolidine rings attached to a β-lactam ring.
They can be classified into three groups based on function:
Penicillins (e.g. penicillin G)
Effective against GPC, GNC, GPR but NOT GNR.
Very susceptible to β-lactamases.
Anti-staphylococcal penicillins (flucloxacillin, oxacillin, diclox, nafcillin)
Resistant to staphylococcal β-lactamase
Active against staph and strep, but not against enterococci, anaerobic bacteria, GNC and GNRs.
Extended spectrum penicillins (amoxicillin, piperacillin and ticarcillin)
Effective against GPC, GNC, GPR and GNR.
Susceptible to β-lactamases.", , 
PETHIDINE (pharmacokinetic profile),,,,,,Renal,,,"Hepatic
Importantly, pethidine has an active metabolite known as norpethidine that accumulates in renal failure. This metabolite causes seizures.",As above,,,,Phenylpeperidine,,
PHENOTHIAZINES,"PO, IV, IM",As above,,"Very lipid soluble drugs
Strongly protein bound (~99%) and very large Vd à 7L/kg. They overall have longer clinical duration than expected for T ½.",,Urine,"Initially designed to treat psychotic episodes, mania and psychotic depression
Other indications as follows:
Prochlorperazine (stemetil): anti-emetic and anti-vertigo
Promethazine (Phenergan): allergic reaction
Chlorpromazine (largactil): headaches","Use with other anti-psychotics or other CNS depressants may potentiate effects.
Enzyme inducers, e.g. phenobarbitone or phenytoin may reduce its effects.","Usually metabolized by liver CYP 450 enzymes and excreted by the urine.
Bioavailability tends to be low (chlorpromazine and thioridazine have bioavailability of only 25%)
Enzyme inhibitors (cimetidine/amiodarone/ketoconazole) may interfere with their metabolism.
At therapeutic doses, anti-psychotics neither induce nor inhibit liver enzymes.","The main efficacy of the phenothiazines is due to D2 receptor blockade. However, these drugs are dirty drugs, and therefore have the following:
Α-blockade
Muscarinic blockade
H1 receptor blockade
5-HT2 blockade
Its other effects are due to blockade of other channels:
Receptor
Effect
Alpha blockade
Orthostatic hypotension (most important)
Impotence
Failure to ejaculate
Note that Chlorpromazine (largactil) has the highest affinity for alpha receptors and therefore most likely to cause hypotension.
Muscarinic blockade
Failure of accommodation
Confusional state
Dry mouth/no sweating
Urinary retention/constipation
Tachycardia
 
Blind as a bat, mad as a hatter, red as a beet, hot as a hare, dry as a bone, the bladder and bowel has lost their tone, and the heart runs alone.
Dopaminergic blockade
CNS – Parkinson like effects, e.g. akasthisia, dystonia and tardive dyskinesia
Endocrine effects – amenorrhoea, galactorrhea, infertility and impotence
H1 blockade
Sedation
Combined H1/5HT-2 block
Weight gain
The anti-psychotics also cause QT-prolongation (increased risk of TdP). Overall CVS effects are reduced MAP, reduced TMR and overall reduced SV (hypotension and tachycardia)",,,,Typical anti-psychotics of the phenothiazine class,"Main toxicological concerns in OD are CNS depression, hypotension, tachyarrhythmias and TdP.
Benztropine is the antidote for dystonic reactions.",
PHENYTOIN,PO or IV,"Mainly CVS, CNS and skin complications
CNS: ataxia, nystagmus and diplopia
CVS: arrhythmia, hypotension especially at fast infusion rates.
Skin: rare. However, may get SJS/idiosyncratic rash.",,Very highly bound to plasma proteins. Drugs that are highly protein bound (e.g. sulfonamides/warfarin) will displace it.,"In status epilepticus, the adult dose is 15-20mg/kg.
Deliver as an IV infusion of no more than 50mg/minute. This avoids the complication of hypotension and possible cardiovascular collapse.",Renal,"Status epilepticus
Partial/generalized TCS
Digitalis induced arrhythmias","Drugs that are highly protein bound will displace phenytoin and reduce its effect (e.g. warfarin, sulfasalazine)
Enzyme inducers will reduce its level (carbamazepine, rifampicin)
Enzyme inhibitors will increase its level (amiodarone, metronidazole)
Phenytoin itself is an enzyme inducer and therefore it may reduce effects of corticosteroids or doxycycline. There is no auto-induction.","To inactive metabolites.
Phenytoin demonstrates dose-dependent metabolism and excretion.
It follows first order kinetics at low blood levels.
At higher blood levels (even within the therapeutic range) the metabolism then begins to follow zero order kinetics.
A small increase in dosage may represent a large increase in plasma levels.
T ½ of 12-36 hours, taking 5-7 days to reach steady state.","Affects Na, K and Ca2+ conductance.
Preferentially binds to the inactivated state of Na+ channels, therefore prolonging the inactivated states.
Has a use dependent effect.
Overall inhibits the generation of rapidly repetitive action potentials.
Thought to also reduce glutamate synthesis
Thought to enhance GABA release",,,,Diphenyl substituted hydantoin,,
PROPOFOL,IV only,"Hypotension
Transient apnoea
Inability to protect airway
Anaphylaxis/NV/Headache (very rare)",Absolute contraindications are known hypersensitivity or egg allergy,"Very lipid soluble
Highly protein bound – 97%
Vd is high – 2 to 10L/kg","Induction – 1 to 2.5mg/kg (80-200mg in the average person).
Children need larger doses and pre-medicated patients need lower doses.",Urinary,"Procedural sedation in ED
Induction agent prior to intubation
Maintenance of sedation in ED/ICU (ventilated patients)",,"Rapidly metabolized in the liver to inactive products, and then excreted in the urine.
Note that plasma clearance is high and exceeds hepatic blood flow – there is probably extra-hepatic metabolism as well (the lung is thought to account for 30% of metabolism)
However, note that the termination of the drug effect after a single bolus dose is mainly due to redistribution of the drug from the CNS to other less well-perfused areas.
Distribution T ½ ~2-4 minutes, awakening occurs in 8-10 minutes
Elimination T ½ is 4-23 hours.","Thought to act by potentiating the chloride current through GABA-A channels
Organ system effects are as follows:
CVS
Propofol causes the MOST PROFOUND decrease in systemic blood pressure when compared with other induction agents. This is due to profound arteriolar and venodilation, leading to a marked reduction in preload and afterload. Also, there is a strong inhibition of the normal baroreceptor response, so there is only a small increase in HR. *Use carefully in the elderly/already hypovolemic patient*
CNS
Propofol is a hypnotic with no analgesic properties.
It decreases cerebral metabolic rate and cerebral blood flow, therefore reducing ICP and intra-ocular pressure. However, be aware that the reduction in MAP and cerebral blood flow in combination may cause a critical reduction in cerebral perfusion pressure.
Respiratory
Propofol is a potent respiratory depressant.
Decreases both RR and TV (but decreases TV more)
It blunts the respiratory center’s response to hypoxia/hypercapnia
It blunts upper airway reflexes more so than thiopental (good for instrumenting airway/LMA)
Others
Propofol related infusion syndrome (PRIS). Characterized by tachycardia and metabolic acidosis. Seen in long term sedation/high doses.
Good anti-emetic properties
Pain on injection (use lignocaine/larger vein)",,,"Elderly
Already hypovolemic
Additional CNS depression with other drugs (BZD/Opioids/ODs)","2,6 diisopropyl phenol is the chemical name for Propofol",,
PROTON PUMP INHIBITORS,,,,,,,,,,"They are lipophilic weak bases that are administered as inactive prodrugs with an enteric coating.
The enteric coating is dissolved in the small intestine. The pro-drug is then absorbed and circulated to the entire body.
The prodrug then preferentially diffuses into acidified compartments, where they are converted to their active form and irreversibly inhibit H+/K+ ATPase.
Adverse effects
Common side effects are nausea, vomiting and diarrhea.
Rare but serious side effects are rhabdomyolysis and drug induced acute interstitial nephritis.
It is theoretically more advantageous to administer PPIs as an infusion than as a bolus because they only inhibit pumps that are actively secreting acid (only a small proportion of pumps are active at a time while the patient is fasting, so administration as an infusion leads to more pumps being inhibited)","Can be administered PO or IV
It is only administered as a prodrug. It should be given 1 hour before meals as the bioavailability is reduced by 50% due to crushing of enteric coating.
It is also inactivated by stomach acid.
T ½ is short, but the proton pumps are irreversibly inhibited and need 18 hours to regenerate (the drug has a short T ½ but a long duration of effect). Full acid inhibition occurs in 3-4 days.",,,"Examples of PPIs are omeprazole, pantoprazole and rabeprazole",,
RIFAMPICIN,"PO, well absorbed","Orange coloured bodily fluids.
Cholestatic jaundice and occasional hepatitis.",,"Highly protein bound drug.
Limited penetration to the CSF unless the meninges are already inflamed.", ,"Mostly in faeces, small amount in urine.",,"Remember that rifampicin is a strong inducer of hepatic CYP450 enzymes. Therefore, it increases the excretion of methadone, warfarin, etc.","Hepatic, but no need for dose adjustment in liver or renal disease.","Rifampicin functions by binding to RNA polymerase, therefore inhibiting RNA synthesis.
Its spectrum of activity covers Gram+ve cocci, Gram-ve cocci, enteric bacteria, chlamydia and mycobacteria (for which it is bactericidal)
Importantly, rifampicin mutations are widespread, and rifampicin should therefore not be used as single therapy but rather, as combination therapy.
Indications therefore as follows:
Mycobacterium infections (in combination with isoniazid)
To eliminate the carrier status of meningococci
Can be used to treat serious staph infections (e.g. valve disease or osteomyelitis)",, ,, , , 
RIVAROXABAN,PO – rapidly absorbed with bioavailability of 80%,Haemorrhage,"Active bleeding
Any potential for serious life-threatening bleeding","Strongly protein bound (92-95%)
 ","15-20mg if GFR >30, 10mg if GFR between 15-30 and CI if GFR <15.
Regular monitoring not necessary due to predictable PK. However, does increase both aPTT and PT.","1/3 of the drug is excreted unchanged in the urine
The metabolites are inactive and cleared by faecal and renal routes.","Treatment of DVT and PE
Prevention of venous thromboembolism in adults after major orthopaedic surgery (THR and TKR)
Prevention of stroke in non-valvular AF",With inhibitors and inducers of CYP systems,"Hepatic, via CYP systems.
T ½ of 8 hours, increased to 12 hours in the elderly.","Direct inhibitor of Factor Xa (therefore inhibiting the common pathway of coagulation)
10000x higher affinity for factor Xa than Factor Xia, IXa, VIIa and IIa.",,.,"Renal impairment
Drug accumulates in renal impairment leading to increased risk of bleeding.
Requires dose adjustment
Hepatic impairment
Contraindicated in severe hepatic disease (Childs-Pugh class B and C) due to impaired clearance and underlying coagulopathy.",Novel oral anti-coagulant (NOAC),"Bleeding
Cease drug
Requires reversal with PCC (Prothrombinex) or Recombinant factor VII (NovoSeven).
FFP also may be useful.
Will require specialist input from haematology service.",
SELECTIVE SEROTONIN REUPTAKE INHIBITORS,PO,"Due to too much serotonin in the CNS
Nausea/vomiting/diarrhea
Reduced libido
Headache and insomnia
Weight gain
Discontinuation syndrome (dizziness, paraesthesia)",Concurrent use of MAO-I is an absolute contraindication,"Very lipophilic drug
Strongly protein bound and large Vd: 20-45L/kg à non-dialysable toxin.",,Urinary,"Depressive disorders
Anxiety disorders, including OCD.","MAO-I
TCA and Calcium channel blockers have increased activity due to enzyme inhibition by fluoxetine.","Hepatic mainly
Note that fluoxetine is metabolized to norfluoxetine, its active metabolite. Norfluoxetine’s T ½ is 3x that of fluoxetine and therefore fluoxetine has the longest half-life of all SSRIs.
This is important because fluoxetine must be stopped at least 4 weeks before commencing a MAO-I.
Fluoxetine, paroxetine and fluvoxamine are all strong inhibitors of CYP systems.
Citalopram, escitalopram and sertraline are more modest.","Mainly bind to SERT.
Minimal histaminergic, adrenergic or muscarinic blockade.",,,,"SSRIs – examples are fluoxetine, citalopram and escitalopram","Use activated charcoal
BZD may be useful for seizures",
SEROTONIN/5-HYDROXYTRIPTAMINE,,,,,,,,,,"Binds to, and activates 5-HT receptors.
Tissue and organ effects as follows:
CVS
Potent vasoconstrictor, except in the heart and skeletal muscles, where it causes vasodilation.
Small positive inotropic and chronotropic action.
May elicit the chemoreceptor reflex/Bezold Jarish reflex, where serotonin activates 5HT3 receptors on the heart, leading to profound hypotension and bradycardia.
Immunological function
Found in platelets – assists with platelet aggregation
Nervous system
CNS: functions as a neurotransmitter
5HT3 receptors participate in the vomiting reflex.
Implicated in depression/migraine. Also implicated in mood/pain perception/sleep
Respiratory
Causes bronchoconstriction and hyperventilation
GIT
Prokinetic and secretory effect, resulting in diarrhea.","Formed from tryptophan
After formation, it is rapidly stored or broken down by MAO to 5HIAA.
Serotonin can be found in
Enterochromaffin cells in the GIT (90%)
Platelets in blood stream
Serotonergic neurons in the CNS
The amount of 5-HIAA may be used to detect carcinoid syndrome.",,,Biological amine,,
SODIUM NITROPRUSSIDE,"IV only.
It has a T ½ of two minutes, and overall duration of action of 1-10 minutes.
Its metabolite thiocyanate has a T ½ of 3 days.","Excessive fall in BP (requires arterial line to use)
Cyanide toxicity – metabolic acidosis, arrhythmia, tachypnea, pink skin and dilated pupils.
Thiocyanate toxicity – CNS effects, e.g. ataxia, weakness, disorientation, psychosis, N/V and seizures.",,,,Renal,Hypertensive emergency,,"SNP is taken up by RBCs and readily metabolized to release NO and cyanide.
Cyanide is metabolized in the liver by the mitochondrial enzyme rhodanase to thiocyanate.
Thiocyanate is then distributed to the extracellular fluid and excreted renally.","It releases NO, which stimulates guanylyl cyclase to increase cGMP levels. This leads to both venodilation and arteriolar dilation.
In the absence of heart failure, there is a fall in BP due to decreased vascular resistance. Cardiac output generally does not change (or it may fall slightly).
In patients with heart failure and low cardiac output, SNP may increase cardiac output by decreasing afterload.",,,"Renal impairment (due to reduced excretion of thiocyanate)
High doses and long infusion times may cause toxicity","It functions as an intravenous vasodilator.
It is a complex consisting of cyanide group, iron and a nitroso group.","Sodium thiosulphate provides a sulphur group to assist with cyanide metabolism.
Hydroxycobalamin (Vit B12) can also be used – it is metabolized to a non-toxic byproduct known as cyanocobalamin.",
SULFONAMIDES,PO,"All sulfur based drugs (diuretics, diazoxide, sulfonoureas, hypoglycaemics and antimicrobials) are cross allergic.
Most serious (but rare) complication is Steven-Johnsons syndrome.
May cause haemolytic anaemic, granulocytosis or leukemoid reactions.
Increased risk of kernicterus",,"Well absorbed from GIT and distributed widely to tissues, including CNS.", ,Urinary – reduce dose in renal failure.,,,Hepatic,"Competes with PABA for folate production in bacteria and therefore reduces purine and DNA synthesis (see above picture)
Inhibits both Gram+ve and Gram-ve bacteria
Active against chlamydia, E.coli, Klebsiella, Shigella and Salmonella.
Note that pseudomonas is intrinsically resistant
Rickettsial growth is actually enhanced by sulfonamides.
Remember that the sulfonamides have synergy with trimethoprim due to the sequential inactivation of folate production. Therefore, indications are as follows:
Bactrim – treat PCP pneumonia
Sulfadiazine/pyrimethamine – Toxoplasmosis
Sulfasalazine alone – Ulcerative colitis, IBD
Topical sulfonamides – bacterial conjunctivitis and burns
Resistance is usually plasmid encoded. It is due to:
Increased production of PABA
Production of a folic acid enzyme that is low in affinity for sulfonamides
Impaired permeability to sulfonamides",, ,,"The sulfonamides are structurally similar to PABA, a substrate in bacterial folate synthesis.", , 
SULFONOUREAS,,,,,,,,,,"Functions by binding to a K+ channel, preventing K+ efflux.
This causes depolarization and opening of a voltage gated Ca2+ channel, that releases the pre-formed insulin.
Long-term sulfonourea administration causes a reduction in the secretion of glucagon. This causes its hypoglycemic effect.
 
Examples of first generation sulfonoureas are tolbutamide, chlopropamide and tolazamide.
Examples of second generation sulfonoureas are glipizide, glyburide and glimepiride.",,,,Insulin secretagogues,,
T-PA,IV,"Haemorrhage, either at the site of thrombus or systemic lysis state from the formation of plasmin à fibrinolysis and destruction of other coagulation factors.","Active bleeding
Any condition predisposing to severe bleeding (severe HTN/recent surgery/GI ulcer)",,,,"Massive PE
Ischaemic stroke, within 3/24 of symptoms.
AMI
DVT (severe)
Possibly intra-arterial thrombus.",,"Short half-life (cleared in the liver). As such, heparin must be used together as an adjunct.","Converts plasminogen to plasmin, which then breaks down fibrin.
In theory, it activates plasminogen that is bound to fibrin, and is supposed to produce local fibrinolysis more so than systemic lysis.",,"A note about the other fibrinolytic drugs:
Streptokinase is a protein (and not an enzyme) synthesized by streptococci that combines with plasminogen and catalyses it to active plasmin.
Urokinase is a human enzyme that is produced by the kidney that converts plasminogen to plasmin.
Tenecteplase has a longer half-life, and therefore can be given as an IV push.
A note about fibrinolytic inhibitors:
Aminocaproic acid (EACA) is a competitive inhibitor of plasminogen activator. It can be administered orally or IV, and usually given as a bolus and then an infusion. It is cleared by the kidney. Tranexamic acid is an analog of EACA, with the same properties.
Clinical indications are haemophilia, bleeding from fibrinolytic therapy, and prophylaxis against re-bleeding from intracranial aneurysms.",,"Fibrinolytic drug –recombinant tissue plasminogen activator. Brand names are alteplase, reteplase and tenecteplase.",,
